home_team,away_team,tournament,difference
England,Scotland,Friendly,2
Scotland,England,Friendly,3
Scotland,Wales,Friendly,4
England,Scotland,Friendly,2
Wales,Scotland,Friendly,2
Scotland,England,Friendly,5
Scotland,Wales,Friendly,9
Wales,Scotland,Friendly,3
Scotland,Wales,Friendly,4
England,Scotland,Friendly,5
Wales,Scotland,Friendly,4
Northern Ireland,England,Friendly,13
Wales,Northern Ireland,Friendly,6
Scotland,England,Friendly,4
Wales,England,Friendly,2
Scotland,Wales,Friendly,5
England,Wales,Friendly,5
England,Northern Ireland,Friendly,7
Wales,Scotland,Friendly,3
Northern Ireland,Scotland,British Home Championship,5
Wales,Northern Ireland,British Home Championship,6
Northern Ireland,England,British Home Championship,7
Wales,England,British Home Championship,4
Scotland,Wales,British Home Championship,3
England,Northern Ireland,British Home Championship,4
Scotland,Northern Ireland,British Home Championship,6
Wales,Scotland,British Home Championship,7
Northern Ireland,Wales,British Home Championship,6
Wales,Northern Ireland,British Home Championship,5
Northern Ireland,England,British Home Championship,5
Northern Ireland,Scotland,British Home Championship,5
Wales,England,British Home Championship,2
Scotland,Wales,British Home Championship,3
England,Northern Ireland,British Home Championship,7
Scotland,Northern Ireland,British Home Championship,3
England,Wales,British Home Championship,4
Northern Ireland,Wales,British Home Championship,3
Wales,Scotland,British Home Championship,2
England,Wales,British Home Championship,4
Wales,Northern Ireland,British Home Championship,11
Scotland,Wales,British Home Championship,4
Scotland,England,British Home Championship,5
Northern Ireland,Scotland,British Home Championship,8
Northern Ireland,England,British Home Championship,4
Scotland,Canada,Friendly,4
England,Wales,British Home Championship,3
England,Northern Ireland,British Home Championship,5
Scotland,Northern Ireland,British Home Championship,7
Northern Ireland,Wales,British Home Championship,2
Wales,Northern Ireland,British Home Championship,3
Northern Ireland,England,British Home Championship,8
Wales,England,British Home Championship,2
Scotland,Wales,British Home Championship,5
Northern Ireland,Scotland,British Home Championship,3
Northern Ireland,Wales,British Home Championship,5
England,Wales,British Home Championship,3
England,Northern Ireland,British Home Championship,5
Northern Ireland,England,British Home Championship,2
Wales,England,British Home Championship,2
Scotland,Wales,British Home Championship,5
Scotland,England,British Home Championship,3
England,Northern Ireland,British Home Championship,5
England,Wales,British Home Championship,6
Wales,Scotland,British Home Championship,8
Scotland,Northern Ireland,British Home Championship,5
England,Scotland,British Home Championship,3
Wales,Northern Ireland,British Home Championship,3
Wales,England,British Home Championship,4
Scotland,Wales,British Home Championship,3
England,Northern Ireland,British Home Championship,9
Scotland,Northern Ireland,British Home Championship,2
England,Scotland,British Home Championship,3
Wales,Northern Ireland,British Home Championship,5
Northern Ireland,England,British Home Championship,2
Wales,England,British Home Championship,8
Scotland,Wales,British Home Championship,4
England,Northern Ireland,British Home Championship,6
Scotland,Northern Ireland,British Home Championship,4
England,Wales,British Home Championship,4
Scotland,Wales,British Home Championship,3
Northern Ireland,Scotland,British Home Championship,3
Wales,England,British Home Championship,3
