home_team,away_team,home_score,away_score,tournament,difference
England,Scotland,4,2,Friendly,2
Scotland,England,3,0,Friendly,3
Scotland,Wales,4,0,Friendly,4
England,Scotland,1,3,Friendly,2
Wales,Scotland,0,2,Friendly,2
Scotland,England,7,2,Friendly,5
Scotland,Wales,9,0,Friendly,9
Wales,Scotland,0,3,Friendly,3
Scotland,Wales,5,1,Friendly,4
England,Scotland,1,6,Friendly,5
Wales,Scotland,1,5,Friendly,4
Northern Ireland,England,0,13,Friendly,13
Wales,Northern Ireland,7,1,Friendly,6
Scotland,England,5,1,Friendly,4
Wales,England,5,3,Friendly,2
Scotland,Wales,5,0,Friendly,5
England,Wales,5,0,Friendly,5
England,Northern Ireland,7,0,Friendly,7
Wales,Scotland,0,3,Friendly,3
Northern Ireland,Scotland,0,5,British Home Championship,5
Wales,Northern Ireland,6,0,British Home Championship,6
Northern Ireland,England,1,8,British Home Championship,7
Wales,England,0,4,British Home Championship,4
Scotland,Wales,4,1,British Home Championship,3
England,Northern Ireland,4,0,British Home Championship,4
Scotland,Northern Ireland,8,2,British Home Championship,6
Wales,Scotland,1,8,British Home Championship,7
Northern Ireland,Wales,2,8,British Home Championship,6
Wales,Northern Ireland,5,0,British Home Championship,5
Northern Ireland,England,1,6,British Home Championship,5
Northern Ireland,Scotland,2,7,British Home Championship,5
Wales,England,1,3,British Home Championship,2
Scotland,Wales,4,1,British Home Championship,3
England,Northern Ireland,7,0,British Home Championship,7
Scotland,Northern Ireland,4,1,British Home Championship,3
England,Wales,4,0,British Home Championship,4
Northern Ireland,Wales,4,1,British Home Championship,3
Wales,Scotland,0,2,British Home Championship,2
England,Wales,5,1,British Home Championship,4
Wales,Northern Ireland,11,0,British Home Championship,11
Scotland,Wales,5,1,British Home Championship,4
Scotland,England,0,5,British Home Championship,5
Northern Ireland,Scotland,2,10,British Home Championship,8
Northern Ireland,England,1,5,British Home Championship,4
Scotland,Canada,4,0,Friendly,4
England,Wales,4,1,British Home Championship,3
England,Northern Ireland,6,1,British Home Championship,5
Scotland,Northern Ireland,7,0,British Home Championship,7
Northern Ireland,Wales,1,3,British Home Championship,2
Wales,Northern Ireland,5,2,British Home Championship,3
Northern Ireland,England,1,9,British Home Championship,8
Wales,England,1,3,British Home Championship,2
Scotland,Wales,5,0,British Home Championship,5
Northern Ireland,Scotland,1,4,British Home Championship,3
Northern Ireland,Wales,7,2,British Home Championship,5
England,Wales,4,1,British Home Championship,3
England,Northern Ireland,6,1,British Home Championship,5
Northern Ireland,England,0,2,British Home Championship,2
Wales,England,0,2,British Home Championship,2
Scotland,Wales,6,1,British Home Championship,5
Scotland,England,1,4,British Home Championship,3
England,Northern Ireland,6,1,British Home Championship,5
England,Wales,6,0,British Home Championship,6
Wales,Scotland,0,8,British Home Championship,8
Scotland,Northern Ireland,6,1,British Home Championship,5
England,Scotland,5,2,British Home Championship,3
Wales,Northern Ireland,4,1,British Home Championship,3
Wales,England,1,5,British Home Championship,4
Scotland,Wales,5,2,British Home Championship,3
England,Northern Ireland,9,0,British Home Championship,9
Scotland,Northern Ireland,3,1,British Home Championship,2
England,Scotland,3,0,British Home Championship,3
Wales,Northern Ireland,6,1,British Home Championship,5
Northern Ireland,England,0,2,British Home Championship,2
Wales,England,1,9,British Home Championship,8
Scotland,Wales,4,0,British Home Championship,4
England,Northern Ireland,6,0,British Home Championship,6
Scotland,Northern Ireland,5,1,British Home Championship,4
England,Wales,4,0,British Home Championship,4
Scotland,Wales,5,2,British Home Championship,3
Northern Ireland,Scotland,0,3,British Home Championship,3
Wales,England,0,3,British Home Championship,3
Scotland,England,1,3,British Home Championship,2
England,Northern Ireland,13,2,British Home Championship,11
Wales,Scotland,0,6,British Home Championship,6
England,Wales,4,0,British Home Championship,4
Scotland,Northern Ireland,9,1,British Home Championship,8
Scotland,Wales,5,2,British Home Championship,3
Wales,Northern Ireland,2,0,British Home Championship,2
Northern Ireland,Scotland,0,3,British Home Championship,3
Northern Ireland,England,0,2,British Home Championship,2
Scotland,England,4,1,British Home Championship,3
Scotland,Northern Ireland,11,0,British Home Championship,11
England,Northern Ireland,3,0,British Home Championship,3
England,Wales,6,0,British Home Championship,6
Wales,Northern Ireland,0,3,British Home Championship,3
Northern Ireland,Scotland,1,5,British Home Championship,4
Scotland,Wales,5,1,British Home Championship,4
Uruguay,Argentina,0,6,Friendly,6
Austria,Hungary,5,0,Friendly,5
England,Northern Ireland,4,0,British Home Championship,4
Scotland,Northern Ireland,0,2,British Home Championship,2
Northern Ireland,Wales,2,0,British Home Championship,2
Austria,Hungary,4,2,Friendly,2
Northern Ireland,England,1,3,British Home Championship,2
Hungary,Austria,3,0,Friendly,3
Wales,Scotland,3,1,British Home Championship,2
Scotland,Northern Ireland,4,0,British Home Championship,4
England,Wales,3,1,British Home Championship,2
Belgium,Netherlands,1,4,Friendly,3
Belgium,France,7,0,Friendly,7
Netherlands,Belgium,4,0,Friendly,4
Northern Ireland,England,0,5,British Home Championship,5
Scotland,Wales,0,2,British Home Championship,2
