country,tournament,goals
Abkhazia,CONIFA European Football Cup,11
Abkhazia,CONIFA World Football Cup,36
Afghanistan,AFC Asian Cup qualification,19
Afghanistan,AFC Challenge Cup,7
Afghanistan,AFC Challenge Cup qualification,10
Afghanistan,CAFA Nations Cup,1
Afghanistan,FIFA World Cup qualification,18
Afghanistan,Merdeka Tournament,2
Afghanistan,SAFF Cup,46
Albania,Balkan Cup,9
Albania,FIFA World Cup qualification,84
Albania,Malta International Tournament,8
Albania,Prime Minister's Cup,1
Albania,UEFA Euro,1
Albania,UEFA Euro qualification,100
Albania,UEFA Nations League,13
Alderney,Inter Games Football Tournament,5
Alderney,Island Games,10
Algeria,African Cup of Nations,94
Algeria,African Cup of Nations qualification,195
Algeria,African Nations Championship,2
Algeria,African Nations Championship qualification,0
Algeria,Arab Cup,13
Algeria,Arab Cup qualification,3
Algeria,Dakar Tournament,2
Algeria,FIFA World Cup,13
Algeria,FIFA World Cup qualification,158
Algeria,Indonesia Tournament,5
Algeria,Kirin Cup,1
Algeria,Kuneitra Cup,10
Algeria,Malta International Tournament,3
Algeria,Palestine Cup,32
American Samoa,FIFA World Cup qualification,10
American Samoa,Oceania Nations Cup qualification,9
American Samoa,Pacific Games,9
American Samoa,South Pacific Games,8
Andorra,FIFA World Cup qualification,22
Andorra,Malta International Tournament,1
Andorra,UEFA Euro qualification,17
Andorra,UEFA Nations League,9
Angola,African Cup of Nations,30
Angola,African Cup of Nations qualification,113
Angola,African Nations Championship,20
Angola,African Nations Championship qualification,2
Angola,COSAFA Cup,38
Angola,COSAFA Cup qualification,3
Angola,FIFA World Cup,1
Angola,FIFA World Cup qualification,89
Anguilla,CFU Caribbean Cup qualification,22
Anguilla,CONCACAF Nations League,4
Anguilla,CONCACAF Nations League qualification,1
Anguilla,FIFA World Cup qualification,2
Antigua and Barbuda,CFU Caribbean Cup,32
Antigua and Barbuda,CFU Caribbean Cup qualification,87
Antigua and Barbuda,CONCACAF Championship qualification,6
Antigua and Barbuda,CONCACAF Nations League,22
Antigua and Barbuda,CONCACAF Nations League qualification,10
Antigua and Barbuda,FIFA World Cup qualification,64
Antigua and Barbuda,Gold Cup qualification,1
Arameans Suryoye,CONIFA World Football Cup,9
Arameans Suryoye,Viva World Cup,7
Argentina,Atlantic Cup,8
Argentina,Brazil Independence Cup,9
Argentina,CONMEBOL–UEFA Cup of Champions,4
Argentina,Confederations Cup,22
Argentina,Copa América,474
Argentina,Copa Carlos Dittborn,33
Argentina,Copa Chevallier Boutell,68
Argentina,Copa Félix Bogado,7
Argentina,Copa Lipton,39
Argentina,Copa Newton,50
Argentina,Copa Premio Honor Argentino,21
Argentina,Copa Premio Honor Uruguayo,16
Argentina,Copa Ramón Castilla,14
Argentina,Copa Roca,51
Argentina,FIFA 75th Anniversary Cup,0
Argentina,FIFA World Cup,152
Argentina,FIFA World Cup qualification,270
Argentina,Kirin Cup,6
Argentina,Mundialito,3
Argentina,Nehru Cup,2
Argentina,Pan American Championship,18
Argentina,Real Madrid 75th Anniversary Cup,1
Argentina,Superclásico de las Américas,5
Armenia,Cyprus International Tournament,10
Armenia,FIFA World Cup qualification,61
Armenia,Malta International Tournament,3
Armenia,UEFA Euro qualification,74
Armenia,UEFA Nations League,27
Artsakh,CONIFA European Football Cup,9
Artsakh,CONIFA World Football Cup,19
Aruba,ABCS Tournament,10
Aruba,CCCF Championship,8
Aruba,CFU Caribbean Cup qualification,32
Aruba,CONCACAF Nations League,24
Aruba,CONCACAF Nations League qualification,5
Aruba,FIFA World Cup qualification,26
Aruba,Gold Cup qualification,0
Australia,AFC Asian Cup,40
Australia,AFC Asian Cup qualification,13
Australia,Confederations Cup,17
Australia,EAFF Championship,24
Australia,FIFA World Cup,17
Australia,FIFA World Cup qualification,394
Australia,Kirin Cup,1
Australia,Korea Cup,2
Australia,Merlion Cup,12
Australia,Oceania Nations Cup,142
Australia,Simba Tournament,6
Australia,United Arab Emirates Friendship Tournament,3
Australia,Vietnam Independence Cup,15
Austria,Central European International Cup,102
Austria,Cyprus International Tournament,2
Austria,FIFA World Cup,43
Austria,FIFA World Cup qualification,232
Austria,Tournoi de France,2
Austria,UEFA Euro,7
Austria,UEFA Euro qualification,220
Austria,UEFA Nations League,18
Aymara,CONIFA South America Football Cup,1
Azerbaijan,FIFA World Cup qualification,34
Azerbaijan,Malta International Tournament,0
Azerbaijan,UEFA Euro qualification,48
Azerbaijan,UEFA Nations League,16
Bahamas,CFU Caribbean Cup qualification,11
Bahamas,CONCACAF Nations League,19
Bahamas,CONCACAF Nations League qualification,1
Bahamas,FIFA World Cup qualification,20
Bahamas,Gold Cup qualification,0
Bahrain,AFC Asian Cup,29
Bahrain,AFC Asian Cup qualification,74
Bahrain,Arab Cup,21
Bahrain,Arab Cup qualification,2
Bahrain,FIFA World Cup qualification,122
Bahrain,Gulf Cup,131
Bahrain,Korea Cup,10
Bahrain,Merdeka Tournament,6
Bahrain,Millennium Cup,0
Bahrain,Prime Minister's Cup,15
Bahrain,WAFF Championship,5
Bangladesh,AFC Asian Cup,2
Bangladesh,AFC Asian Cup qualification,24
Bangladesh,AFC Challenge Cup,10
Bangladesh,AFC Challenge Cup qualification,14
Bangladesh,FIFA World Cup qualification,41
Bangladesh,King's Cup,0
Bangladesh,Korea Cup,1
Bangladesh,Mahinda Rajapaksa Cup,4
Bangladesh,Merdeka Tournament,12
Bangladesh,Millennium Cup,1
Bangladesh,Nehru Cup,1
Bangladesh,SAFF Cup,52
Bangladesh,Three Nations Cup,1
Barawa,CONIFA World Football Cup,7
Barawa,World Unity Cup,2
Barbados,CFU Caribbean Cup,16
Barbados,CFU Caribbean Cup qualification,97
Barbados,CONCACAF Championship qualification,3
Barbados,CONCACAF Nations League,24
Barbados,CONCACAF Nations League qualification,3
Barbados,FIFA World Cup qualification,35
Barbados,Gold Cup qualification,4
Barbados,SKN Football Festival,0
Barbados,Windward Islands Tournament,4
Belarus,Cyprus International Tournament,8
Belarus,FIFA World Cup qualification,68
Belarus,King's Cup,0
Belarus,Malta International Tournament,4
Belarus,UEFA Euro qualification,62
Belarus,UEFA Nations League,23
Belgium,Cyprus International Tournament,1
Belgium,FIFA World Cup,69
Belgium,FIFA World Cup qualification,302
Belgium,King Hassan II Tournament,0
Belgium,Kirin Cup,2
Belgium,UEFA Euro,31
Belgium,UEFA Euro qualification,232
