epoque,gagnant,nombre_de_victoires
1873 à 1892,Canada,1
1873 à 1892,England,27
1873 à 1892,Northern Ireland,2
1873 à 1892,Scotland,37
1873 à 1892,United States,1
1873 à 1892,Wales,9
1893 à 1912,Argentina,13
1893 à 1912,Austria,11
1893 à 1912,Belgium,14
1893 à 1912,Catalonia,1
1893 à 1912,Czechoslovakia,1
1893 à 1912,Denmark,1
1893 à 1912,England,46
1893 à 1912,France,7
1893 à 1912,Germany,5
1893 à 1912,Hungary,21
1893 à 1912,Italy,1
1893 à 1912,Netherlands,18
1893 à 1912,Northern Ireland,10
1893 à 1912,Norway,1
1893 à 1912,Scotland,33
1893 à 1912,Sweden,8
1893 à 1912,Switzerland,4
1893 à 1912,Uruguay,10
1893 à 1912,Wales,12
1913 à 1932,Argentina,67
1913 à 1932,Asturias,1
1913 à 1932,Australia,4
1913 à 1932,Austria,61
1913 à 1932,Barbados,5
1913 à 1932,Basque Country,7
1913 à 1932,Belarus,1
1913 à 1932,Belgium,27
1913 à 1932,Brazil,22
1913 à 1932,Brittany,2
1913 à 1932,Bulgaria,9
1913 à 1932,Canada,5
1913 à 1932,Catalonia,3
1913 à 1932,Central Spain,1
1913 à 1932,Chile,4
1913 à 1932,China PR,7
1913 à 1932,Costa Rica,2
1913 à 1932,Curaçao,4
1913 à 1932,Czechoslovakia,39
1913 à 1932,Denmark,41
1913 à 1932,Dominica,1
1913 à 1932,Egypt,2
1913 à 1932,El Salvador,2
1913 à 1932,England,40
1913 à 1932,Estonia,19
1913 à 1932,Finland,22
1913 à 1932,France,20
1913 à 1932,Galicia,2
1913 à 1932,Germany,25
1913 à 1932,Greece,2
1913 à 1932,Guatemala,1
1913 à 1932,Guyana,7
1913 à 1932,Haiti,2
1913 à 1932,Honduras,1
1913 à 1932,Hungary,54
1913 à 1932,Italy,36
1913 à 1932,Jamaica,6
1913 à 1932,Japan,1
1913 à 1932,Kenya,2
1913 à 1932,Latvia,17
1913 à 1932,Lithuania,6
1913 à 1932,Luxembourg,1
1913 à 1932,Martinique,1
1913 à 1932,Mexico,4
1913 à 1932,Netherlands,24
1913 à 1932,New Zealand,5
1913 à 1932,Northern Ireland,10
1913 à 1932,Norway,29
1913 à 1932,Paraguay,16
1913 à 1932,Peru,1
1913 à 1932,Philippines,2
1913 à 1932,Poland,17
1913 à 1932,Portugal,7
1913 à 1932,Republic of Ireland,4
1913 à 1932,Romania,18
1913 à 1932,Russia,3
1913 à 1932,Scotland,35
1913 à 1932,South Africa,1
1913 à 1932,Spain,22
1913 à 1932,Sweden,67
1913 à 1932,Switzerland,20
1913 à 1932,Trinidad and Tobago,6
1913 à 1932,Turkey,7
1913 à 1932,Uganda,4
1913 à 1932,Ukraine,1
1913 à 1932,United States,6
1913 à 1932,Uruguay,52
1913 à 1932,Wales,13
1913 à 1932,Yugoslavia,22
1933 à 1952,Albania,6
1933 à 1952,Argentina,65
1933 à 1952,Aruba,9
1933 à 1952,Australia,18
1933 à 1952,Austria,39
1933 à 1952,Barbados,3
1933 à 1952,Basque Country,10
1933 à 1952,Belgium,27
1933 à 1952,Bolivia,8
1933 à 1952,Brazil,42
1933 à 1952,Brittany,1
1933 à 1952,Bulgaria,12
1933 à 1952,Catalonia,2
1933 à 1952,Chile,25
1933 à 1952,China PR,4
1933 à 1952,Colombia,2
1933 à 1952,Costa Rica,17
1933 à 1952,Croatia,8
1933 à 1952,Cuba,9
1933 à 1952,Curaçao,35
1933 à 1952,Czechoslovakia,37
1933 à 1952,Denmark,38
1933 à 1952,Dominica,3
1933 à 1952,Dominican Republic,1
1933 à 1952,Ecuador,3
1933 à 1952,Egypt,5
1933 à 1952,El Salvador,15
1933 à 1952,England,60
1933 à 1952,Estonia,12
1933 à 1952,Ethiopia,3
1933 à 1952,Finland,16
1933 à 1952,France,40
1933 à 1952,French Guiana,1
1933 à 1952,Germany,76
1933 à 1952,Ghana,1
1933 à 1952,Greece,5
1933 à 1952,Grenada,3
1933 à 1952,Guadeloupe,5
1933 à 1952,Guatemala,10
1933 à 1952,Guyana,10
1933 à 1952,Haiti,13
1933 à 1952,Honduras,2
1933 à 1952,Hungary,71
1933 à 1952,Iceland,2
1933 à 1952,India,4
1933 à 1952,Indonesia,1
1933 à 1952,Iran,2
1933 à 1952,Israel,3
1933 à 1952,Italy,51
1933 à 1952,Jamaica,11
1933 à 1952,Japan,8
1933 à 1952,Kenya,10
1933 à 1952,Latvia,22
1933 à 1952,Lithuania,14
1933 à 1952,Luxembourg,5
1933 à 1952,Madagascar,5
1933 à 1952,Martinique,8
1933 à 1952,Mauritius,12
1933 à 1952,Mexico,14
1933 à 1952,Netherlands,30
1933 à 1952,New Caledonia,2
1933 à 1952,New Zealand,8
1933 à 1952,Nicaragua,1
1933 à 1952,Nigeria,2
1933 à 1952,Northern Ireland,7
1933 à 1952,Norway,30
1933 à 1952,Pakistan,2
1933 à 1952,Panama,11
1933 à 1952,Paraguay,22
1933 à 1952,Peru,20
1933 à 1952,Philippines,1
1933 à 1952,Poland,18
1933 à 1952,Portugal,11
1933 à 1952,Republic of Ireland,14
1933 à 1952,Romania,26
1933 à 1952,Russia,1
1933 à 1952,Réunion,1
1933 à 1952,Saint Lucia,1
1933 à 1952,Scotland,38
1933 à 1952,Silesia,2
1933 à 1952,Slovakia,3
1933 à 1952,South Africa,9
1933 à 1952,South Korea,2
1933 à 1952,Spain,23
1933 à 1952,Suriname,29
1933 à 1952,Sweden,74
1933 à 1952,Switzerland,41
1933 à 1952,Tanzania,6
1933 à 1952,Trinidad and Tobago,41
1933 à 1952,Turkey,10
1933 à 1952,Uganda,15
1933 à 1952,United States,4
1933 à 1952,Uruguay,44
1933 à 1952,Venezuela,3
1933 à 1952,Wales,21
1933 à 1952,Yugoslavia,43
1933 à 1952,Zambia,5
1933 à 1952,Zanzibar,1
1933 à 1952,Zimbabwe,3
1953 à 1972,Albania,3
1953 à 1972,Algeria,19
1953 à 1972,Argentina,89
1953 à 1972,Aruba,1
1953 à 1972,Australia,25
1953 à 1972,Austria,54
1953 à 1972,Bahrain,5
1953 à 1972,Barbados,1
1953 à 1972,Belarus,2
1953 à 1972,Belgium,59
1953 à 1972,Benin,7
1953 à 1972,Bermuda,2
1953 à 1972,Bolivia,15
1953 à 1972,Brazil,146
1953 à 1972,Bulgaria,52
1953 à 1972,Burkina Faso,6
1953 à 1972,Cambodia,15
1953 à 1972,Cameroon,19
1953 à 1972,Canada,5
1953 à 1972,Catalonia,1
1953 à 1972,Central African Republic,1
1953 à 1972,Chile,52
1953 à 1972,China PR,33
1953 à 1972,Colombia,7
1953 à 1972,Congo,22
1953 à 1972,Corsica,1
1953 à 1972,Costa Rica,57
1953 à 1972,Croatia,1
1953 à 1972,Cuba,3
1953 à 1972,Curaçao,35
1953 à 1972,Cyprus,3
1953 à 1972,Czechoslovakia,67
1953 à 1972,DR Congo,35
1953 à 1972,Denmark,55
1953 à 1972,Dominica,5
1953 à 1972,Ecuador,5
1953 à 1972,Egypt,33
1953 à 1972,El Salvador,29
1953 à 1972,England,108
1953 à 1972,Eswatini,2
1953 à 1972,Ethiopia,34
1953 à 1972,Fiji,5
1953 à 1972,Finland,15
1953 à 1972,France,54
1953 à 1972,French Guiana,2
1953 à 1972,Gabon,3
1953 à 1972,Gambia,3
1953 à 1972,German DR,49
