country,tournament,hote
Belgian Congo,Friendly,1
Bohemia,Friendly,3
Bohemia and Moravia,Friendly,1
British Guyana,Friendly,28
Burma,AFC Asian Cup qualification,4
Burma,FIFA World Cup qualification,1
Burma,Friendly,14
Ceylon,Friendly,8
Dahomey,African Cup of Nations qualification,1
Dahomey,FIFA World Cup qualification,1
Dahomey,Friendly,14
East Timor,FIFA World Cup qualification,4
French Polynesia,FIFA World Cup qualification,6
French Polynesia,Friendly,26
French Polynesia,Oceania Nations Cup,12
French Polynesia,Oceania Nations Cup qualification,2
French Polynesia,South Pacific Games,31
French Somaliland,Friendly,4
Gold Coast,Friendly,6
Ireland,British Home Championship,51
Ireland,Friendly,2
Irish Free State,FIFA World Cup qualification,2
Irish Free State,Friendly,7
Lautoka,South Pacific Games,1
Malaya,AFC Asian Cup qualification,2
Malaya,Friendly,11
Malaya,Merdeka Tournament,82
Mali Federation,Friendly,1
Manchuria,Friendly,5
Netherlands Antilles,CCCF Championship,7
Netherlands Antilles,CFU Caribbean Cup qualification,19
Netherlands Antilles,CONCACAF Championship qualification,6
Netherlands Antilles,CONCACAF Nations League qualification,4
Netherlands Antilles,FIFA World Cup qualification,12
Netherlands Antilles,Friendly,28
Netherlands Antilles,Gold Cup qualification,1
Netherlands Guyana,Friendly,29
New Hebrides,Friendly,3
Northern Rhodesia,Friendly,15
Nyasaland,Friendly,4
Portuguese Guinea,Friendly,1
Rhodesia,Friendly,6
Serbia and Montenegro,FIFA World Cup qualification,5
Serbia and Montenegro,Friendly,3
Serbia and Montenegro,UEFA Euro qualification,3
Southern Rhodesia,Friendly,11
Soviet Union,Baltic Cup,9
Soviet Union,FIFA World Cup qualification,26
Soviet Union,Friendly,103
Soviet Union,UEFA Euro qualification,29
Tanganyika,Friendly,28
United Arab Republic,African Cup of Nations,3
United Arab Republic,Friendly,8
Upper Volta,African Cup of Nations qualification,5
Upper Volta,FIFA World Cup qualification,2
Upper Volta,Friendly,15
Vietnam DR,Friendly,7
Western Samoa,Oceania Nations Cup qualification,6
Western Samoa,South Pacific Games,21
Yemen AR,FIFA World Cup qualification,4
Yemen AR,Friendly,1
Zaïre,African Cup of Nations qualification,23
Zaïre,FIFA World Cup qualification,16
Zaïre,Friendly,20
Éire,Friendly,7
