date,home_team,away_team,home_score,away_score,tournament,country,victoire
1916-07-06,Argentina,Chile,6,1,Copa América,Argentina,True
1916-07-10,Argentina,Brazil,1,1,Copa América,Argentina,False
1916-07-17,Argentina,Uruguay,0,0,Copa América,Argentina,False
1917-09-30,Uruguay,Chile,4,0,Copa América,Uruguay,True
1917-10-07,Uruguay,Brazil,4,0,Copa América,Uruguay,True
1917-10-14,Uruguay,Argentina,1,0,Copa América,Uruguay,True
1919-05-11,Brazil,Chile,6,0,Copa América,Brazil,True
1919-05-18,Brazil,Argentina,3,1,Copa América,Brazil,True
1919-05-26,Brazil,Uruguay,2,2,Copa América,Brazil,False
1919-05-29,Brazil,Uruguay,1,0,Copa América,Brazil,True
1920-09-11,Chile,Brazil,0,1,Copa América,Chile,False
1920-09-20,Chile,Argentina,1,1,Copa América,Chile,False
1920-10-03,Chile,Uruguay,1,2,Copa América,Chile,False
1921-10-02,Argentina,Brazil,1,0,Copa América,Argentina,True
1921-10-16,Argentina,Paraguay,3,0,Copa América,Argentina,True
1921-10-30,Argentina,Uruguay,1,0,Copa América,Argentina,True
1922-09-17,Brazil,Chile,1,1,Copa América,Brazil,False
1922-09-24,Brazil,Paraguay,1,1,Copa América,Brazil,False
1922-10-01,Brazil,Uruguay,0,0,Copa América,Brazil,False
1922-10-15,Brazil,Argentina,2,0,Copa América,Brazil,True
1922-10-22,Brazil,Paraguay,3,0,Copa América,Brazil,True
1923-11-04,Uruguay,Paraguay,2,0,Copa América,Uruguay,True
1923-11-25,Uruguay,Brazil,2,1,Copa América,Uruguay,True
1923-12-02,Uruguay,Argentina,2,0,Copa América,Uruguay,True
1924-10-19,Uruguay,Chile,5,0,Copa América,Uruguay,True
1924-10-26,Uruguay,Paraguay,3,1,Copa América,Uruguay,True
1924-11-02,Uruguay,Argentina,0,0,Copa América,Uruguay,False
1925-11-29,Argentina,Paraguay,2,0,Copa América,Argentina,True
1925-12-13,Argentina,Brazil,4,1,Copa América,Argentina,True
1925-12-20,Argentina,Paraguay,3,1,Copa América,Argentina,True
1925-12-25,Argentina,Brazil,2,2,Copa América,Argentina,False
1926-10-12,Chile,Bolivia,7,1,Copa América,Chile,True
1926-10-17,Chile,Uruguay,1,3,Copa América,Chile,False
1926-10-31,Chile,Argentina,1,1,Copa América,Chile,False
1926-11-03,Chile,Paraguay,5,1,Copa América,Chile,True
1927-11-01,Peru,Uruguay,0,4,Copa América,Peru,False
1927-11-13,Peru,Bolivia,3,2,Copa América,Peru,True
1927-11-27,Peru,Argentina,1,5,Copa América,Peru,False
1929-11-03,Argentina,Peru,3,0,Copa América,Argentina,True
1929-11-10,Argentina,Paraguay,4,1,Copa América,Argentina,True
1929-11-17,Argentina,Uruguay,2,0,Copa América,Argentina,True
1930-07-18,Uruguay,Peru,1,0,FIFA World Cup,Uruguay,True
1930-07-21,Uruguay,Romania,4,0,FIFA World Cup,Uruguay,True
1930-07-27,Uruguay,Yugoslavia,6,1,FIFA World Cup,Uruguay,True
1930-07-30,Uruguay,Argentina,4,2,FIFA World Cup,Uruguay,True
1934-05-27,Italy,United States,7,1,FIFA World Cup,Italy,True
1934-05-31,Italy,Spain,1,1,FIFA World Cup,Italy,False
1934-06-01,Italy,Spain,1,0,FIFA World Cup,Italy,True
1934-06-03,Italy,Austria,1,0,FIFA World Cup,Italy,True
1934-06-10,Italy,Czechoslovakia,2,1,FIFA World Cup,Italy,True
1935-01-13,Peru,Uruguay,0,1,Copa América,Peru,False
1935-01-20,Peru,Argentina,1,4,Copa América,Peru,False
1935-01-26,Peru,Chile,1,0,Copa América,Peru,True
1936-12-30,Argentina,Chile,2,1,Copa América,Argentina,True
1937-01-09,Argentina,Paraguay,6,1,Copa América,Argentina,True
1937-01-16,Argentina,Peru,1,0,Copa América,Argentina,True
1937-01-23,Argentina,Uruguay,2,3,Copa América,Argentina,False
1937-01-30,Argentina,Brazil,1,0,Copa América,Argentina,True
1937-02-01,Argentina,Brazil,2,0,Copa América,Argentina,True
1938-06-05,France,Belgium,3,1,FIFA World Cup,France,True
1938-06-12,France,Italy,1,3,FIFA World Cup,France,False
1939-01-15,Peru,Ecuador,5,2,Copa América,Peru,True
1939-01-22,Peru,Chile,3,1,Copa América,Peru,True
1939-01-29,Peru,Paraguay,3,0,Copa América,Peru,True
1939-02-12,Peru,Uruguay,2,1,Copa América,Peru,True
1941-02-02,Chile,Ecuador,5,0,Copa América,Chile,True
1941-02-09,Chile,Peru,1,0,Copa América,Chile,True
1941-02-16,Chile,Uruguay,0,2,Copa América,Chile,False
1941-03-04,Chile,Argentina,0,1,Copa América,Chile,False
